antibiotic	measurement_value	resistant_phenotype	evidence	genome_id	genome_name	laboratory_typing_method	taxon_id	measurement_sign	measurement_unit
ceftazidime	16	Resistant	Laboratory Method	470.1565	Acinetobacter baumannii strain MRSN6273	Broth dilution	470	>	mg/L
cefepime	64	Resistant	Laboratory Method	470.7370	Acinetobacter baumannii strain BL21	Broth dilution	470	>	mg/L
nitrofurantoin	512	Resistant	Laboratory Method	470.7752	Acinetobacter baumannii strain MRSN7316	Broth dilution	470	>=	mg/L
cefotaxime	32	Resistant	Laboratory Method	470.7694	Acinetobacter baumannii strain MRSN7239	Broth dilution	470	>	mg/L
tobramycin	8	Resistant	Laboratory Method	470.7796	Acinetobacter baumannii strain MRSN7376	Broth dilution	470	>	mg/L
cefoxitin	64	Resistant	Laboratory Method	470.7700	Acinetobacter baumannii strain MRSN7248	Broth dilution	470	>=	mg/L
piperacillin/tazobactam		Resistant	Laboratory Method	470.16220	Acinetobacter baumannii BAL_205	Disk diffusion	470		
gentamicin	8	Resistant	Laboratory Method	470.7912	Acinetobacter baumannii strain MRSN7547	Broth dilution	470	>	mg/L
ceftriaxone	64	Resistant	Laboratory Method	470.8082	Acinetobacter baumannii strain MRSN89	Broth dilution	470	>=	mg/L
nitrofurantoin	512	Resistant	Laboratory Method	470.7339	Acinetobacter baumannii strain 171	Broth dilution	470	>=	mg/L
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.7774	Acinetobacter baumannii strain MRSN7350	Broth dilution	470	>=	mg/L
ceftriaxone		Resistant	Laboratory Method	470.16329	Acinetobacter baumannii 245_ax	Disk diffusion	470		
ceftriaxone	32	Resistant	Laboratory Method	470.7818	Acinetobacter baumannii strain MRSN7403	Broth dilution	470	>	mg/L
aztreonam	16	Resistant	Laboratory Method	470.7762	Acinetobacter baumannii strain MRSN7330	Broth dilution	470	>	mg/L
piperacillin/tazobactam	128/4	Resistant	Laboratory Method	470.7410	Acinetobacter baumannii strain FDA-CDC-AR_0310	Broth dilution	470	>	mg/L
ciprofloxacin		Resistant	Laboratory Method	470.748	Acinetobacter baumannii ABUH24366		470		
ceftazidime		Resistant	Laboratory Method	470.729	Acinetobacter baumannii ABUH410128		470		
tobramycin	16	Resistant	Laboratory Method	470.8102	Acinetobacter baumannii strain MRSN926	Broth dilution	470	>=	mg/L
piperacillin/tazobactam	128	Resistant	Laboratory Method	470.2238	Acinetobacter baumannii strain CCF34		470	>=	mg/L
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.7565	Acinetobacter baumannii strain MRSN1973	Broth dilution	470	>=	mg/L
ceftazidime		Resistant	Laboratory Method	470.6247	Acinetobacter baumannii strain AB_029	Disk diffusion	470		
ceftazidime	64	Resistant	Laboratory Method	470.7808	Acinetobacter baumannii strain MRSN7389	Broth dilution	470	>=	mg/L
cefoxitin	64	Resistant	Laboratory Method	470.2280	Acinetobacter baumannii strain CCF48		470	>=	mg/L
cefazolin	64	Resistant	Laboratory Method	470.7503	Acinetobacter baumannii strain MRSN11806	Broth dilution	470	>=	mg/L
levofloxacin	4	Resistant	Laboratory Method	470.7424	Acinetobacter baumannii strain MRSN11675	Broth dilution	470	>	mg/L
ampicillin	32	Resistant	Laboratory Method	470.7957	Acinetobacter baumannii strain MRSN7626	Broth dilution	470	>=	mg/L
nitrofurantoin	512	Resistant	Laboratory Method	470.7830	Acinetobacter baumannii strain MRSN7415	Broth dilution	470	>=	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7452	Acinetobacter baumannii strain MRSN11727	Broth dilution	470	>	mg/L
tetracycline	8	Resistant	Laboratory Method	470.7832	Acinetobacter baumannii strain MRSN7417	Broth dilution	470	>	mg/L
ceftazidime	16	Resistant	Laboratory Method	470.7807	Acinetobacter baumannii strain MRSN7388	Broth dilution	470	>	mg/L
levofloxacin	4	Resistant	Laboratory Method	470.8057	Acinetobacter baumannii strain MRSN7811	Broth dilution	470	>	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7819	Acinetobacter baumannii strain MRSN7404	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	4/76	Resistant	Laboratory Method	470.8102	Acinetobacter baumannii strain MRSN926	Broth dilution	470	=	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7525	Acinetobacter baumannii strain MRSN1450	Broth dilution	470	>	mg/L
cefotaxime	32	Resistant	Laboratory Method	470.7720	Acinetobacter baumannii strain MRSN7273	Broth dilution	470	>	mg/L
cefepime		Resistant	Laboratory Method	470.676	Acinetobacter baumannii ABUH293412		470		
cefotaxime	32	Resistant	Laboratory Method	470.7494	Acinetobacter baumannii strain MRSN11790	Broth dilution	470	>	mg/L
ciprofloxacin		Resistant	Laboratory Method	470.16267	Acinetobacter baumannii BAL_353	Disk diffusion	470		
ampicillin		Resistant	Laboratory Method	470.1742	Acinetobacter baumannii strain J10	Disk diffusion	470		
gentamicin	8	Resistant	Laboratory Method	470.7541	Acinetobacter baumannii strain MRSN15068	Broth dilution	470	>	mg/L
cefotaxime	256	Resistant	Laboratory Method	470.2428	Acinetobacter baumannii A074	Broth dilution	470		mg/L
ceftazidime	128	Resistant	Laboratory Method	470.7401	Acinetobacter baumannii strain FDA-CDC-AR_0301	Broth dilution	470	=	mg/L
imipenem	8	Resistant	Laboratory Method	470.7795	Acinetobacter baumannii strain MRSN7375	Broth dilution	470	>	mg/L
moxifloxacin	8	Resistant	Laboratory Method	470.7464	Acinetobacter baumannii strain MRSN11747	Broth dilution	470	>=	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7685	Acinetobacter baumannii strain MRSN7228	Broth dilution	470	>	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7463	Acinetobacter baumannii strain MRSN11746	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	8/152	Resistant	Laboratory Method	470.7408	Acinetobacter baumannii strain FDA-CDC-AR_0308	Broth dilution	470	>	mg/L
cefoxitin	64	Resistant	Laboratory Method	470.7650	Acinetobacter baumannii strain MRSN7167	Broth dilution	470	>=	mg/L
ceftriaxone	64	Resistant	Laboratory Method	470.7784	Acinetobacter baumannii strain MRSN7361	Broth dilution	470	>=	mg/L
ampicillin/sulbactam	32/16	Resistant	Laboratory Method	470.7894	Acinetobacter baumannii strain MRSN7511	Broth dilution	470	>=	mg/L
trimethoprim/sulfamethoxazole	2/38	Resistant	Laboratory Method	470.7504	Acinetobacter baumannii strain MRSN11807	Broth dilution	470	>	mg/L
ceftazidime	16	Resistant	Laboratory Method	470.1562	Acinetobacter baumannii strain MRSN3941	Broth dilution	470	>	mg/L
ciprofloxacin	4	Resistant	Laboratory Method	470.2295	Acinetobacter baumannii strain CCF62		470	>=	mg/L
spectinomycin		Resistant	Laboratory Method	470.24288	Acinetobacter baumannii MGL_Ab_11	Disk diffusion	470		
trimethoprim/sulfamethoxazole		Resistant	Laboratory Method	470.660	Acinetobacter baumannii ABUH326445		470		
ampicillin/sulbactam	32/16	Resistant	Laboratory Method	470.7518	Acinetobacter baumannii strain MRSN1309	Broth dilution	470	>=	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.8070	Acinetobacter baumannii strain MRSN7832	Broth dilution	470	>	mg/L
cefotaxime	32	Resistant	Laboratory Method	470.7835	Acinetobacter baumannii strain MRSN7420	Broth dilution	470	>	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7544	Acinetobacter baumannii strain MRSN15072	Broth dilution	470	>	mg/L
tobramycin	16	Resistant	Laboratory Method	470.8124	Acinetobacter baumannii strain not applicable	Broth dilution	470	>=	mg/L
aztreonam	16	Resistant	Laboratory Method	470.7482	Acinetobacter baumannii strain MRSN11770	Broth dilution	470	>	mg/L
cefazolin	64	Resistant	Laboratory Method	470.7853	Acinetobacter baumannii strain MRSN7458	Broth dilution	470	>=	mg/L
ampicillin	32	Resistant	Laboratory Method	470.7414	Acinetobacter baumannii strain MRSN10191	Broth dilution	470	>=	mg/L
ceftriaxone		Resistant	Laboratory Method	470.16263	Acinetobacter baumannii BAL_341	Disk diffusion	470		
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.7925	Acinetobacter baumannii strain MRSN7567	Broth dilution	470	>=	mg/L
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.8106	Acinetobacter baumannii strain MRSN946	Broth dilution	470	>=	mg/L
tetracycline	32	Resistant	Laboratory Method	470.7388	Acinetobacter baumannii strain FDA-CDC-AR_0288	Broth dilution	470	>	mg/L
ceftriaxone		Resistant	Laboratory Method	470.16217	Acinetobacter baumannii BAL_196	Disk diffusion	470		
ciprofloxacin	2	Resistant	Laboratory Method	470.8043	Acinetobacter baumannii strain MRSN7779	Broth dilution	470	>	mg/L
polymyxin B		Resistant	Laboratory Method	470.24296	Acinetobacter baumannii MGL_Ab_5	Disk diffusion	470		
sulfonamides		Resistant	Laboratory Method	470.1749	Acinetobacter baumannii strain D81	Disk diffusion	470		
ceftazidime	16	Resistant	Laboratory Method	470.7738	Acinetobacter baumannii strain MRSN7297	Broth dilution	470	>	mg/L
ceftazidime	256	Resistant	Laboratory Method	470.2143	Acinetobacter baumannii A068	Broth dilution	470	>	mg/L
doxycycline		Resistant	Laboratory Method	470.6188	Acinetobacter baumannii strain AB_390	Disk diffusion	470		
kanamycin		Resistant	Laboratory Method	470.24269	Acinetobacter baumannii 20200622_MGL_69	Disk diffusion	470		
gentamicin	8	Resistant	Laboratory Method	470.7850	Acinetobacter baumannii strain MRSN7455	Broth dilution	470	>	mg/L
tetracycline	8	Resistant	Laboratory Method	470.7915	Acinetobacter baumannii strain MRSN7550	Broth dilution	470	>	mg/L
tobramycin	8	Resistant	Laboratory Method	470.7934	Acinetobacter baumannii strain MRSN7579	Broth dilution	470	>	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7823	Acinetobacter baumannii strain MRSN7408	Broth dilution	470	>	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7578	Acinetobacter baumannii strain MRSN2839	Broth dilution	470	>	mg/L
tobramycin	16	Resistant	Laboratory Method	470.2262	Acinetobacter baumannii strain CCF37		470	>=	mg/L
levofloxacin	8	Resistant	Laboratory Method	470.8103	Acinetobacter baumannii strain MRSN927	Broth dilution	470	>=	mg/L
ceftazidime	16	Resistant	Laboratory Method	470.7428	Acinetobacter baumannii strain MRSN11684	Broth dilution	470	>	mg/L
ampicillin/sulbactam		Resistant	Laboratory Method	470.747	Acinetobacter baumannii ABUH24368		470		
ciprofloxacin	2	Resistant	Laboratory Method	470.8044	Acinetobacter baumannii strain MRSN7780	Broth dilution	470	>	mg/L
aztreonam	16	Resistant	Laboratory Method	470.7451	Acinetobacter baumannii strain MRSN11726	Broth dilution	470	>	mg/L
imipenem	64	Resistant	Laboratory Method	470.4701	Acinetobacter baumannii strain AR_0056	Broth dilution	470	=	mg/L
ampicillin	32	Resistant	Laboratory Method	470.7794	Acinetobacter baumannii strain MRSN7373	Broth dilution	470	>=	mg/L
amikacin		Resistant	Laboratory Method	470.6247	Acinetobacter baumannii strain AB_029	Disk diffusion	470		
ciprofloxacin	2	Resistant	Laboratory Method	470.7857	Acinetobacter baumannii strain MRSN7462	Broth dilution	470	>	mg/L
aztreonam	16	Resistant	Laboratory Method	470.7461	Acinetobacter baumannii strain MRSN11744	Broth dilution	470	=	mg/L
tobramycin	8	Resistant	Laboratory Method	470.7541	Acinetobacter baumannii strain MRSN15068	Broth dilution	470	>	mg/L
sulfonamides		Resistant	Laboratory Method	470.1753	Acinetobacter baumannii strain RBH3	Disk diffusion	470		
cefepime	64	Resistant	Laboratory Method	470.7344	Acinetobacter baumannii strain 329	Broth dilution	470	>=	mg/L
cefazolin	64	Resistant	Laboratory Method	470.8051	Acinetobacter baumannii strain MRSN7797	Broth dilution	470	>=	mg/L
amikacin		Resistant	Laboratory Method	470.6182	Acinetobacter baumannii strain AB_331	Disk diffusion	470		
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.7590	Acinetobacter baumannii strain MRSN7073	Broth dilution	470	>=	mg/L
spectinomycin		Resistant	Laboratory Method	470.1756	Acinetobacter baumannii strain A85	Disk diffusion	470		
ceftriaxone	64	Resistant	Laboratory Method	470.1549	Acinetobacter baumannii strain MRSN17593	Broth dilution	470	>=	mg/L
tobramycin	8	Resistant	Laboratory Method	470.7614	Acinetobacter baumannii strain MRSN7125	Broth dilution	470	>	mg/L
ciprofloxacin	4	Resistant	Laboratory Method	470.7808	Acinetobacter baumannii strain MRSN7389	Broth dilution	470	>=	mg/L
ceftriaxone	64	Resistant	Laboratory Method	470.2259	Acinetobacter baumannii strain CCF23		470	>=	mg/L
tetracycline		Resistant	Laboratory Method	470.24281	Acinetobacter baumannii MGL_154	Disk diffusion	470		
imipenem	8	Resistant	Laboratory Method	470.7808	Acinetobacter baumannii strain MRSN7389	Broth dilution	470	>	mg/L
levofloxacin		Resistant	Laboratory Method	470.690	Acinetobacter baumannii ABUH189348		470		
amikacin		Resistant	Laboratory Method	470.6232	Acinetobacter baumannii strain AB_035	Disk diffusion	470		
ceftriaxone	32	Resistant	Laboratory Method	470.7775	Acinetobacter baumannii strain MRSN7351	Broth dilution	470	>	mg/L
cefazolin	64	Resistant	Laboratory Method	470.7942	Acinetobacter baumannii strain MRSN7593	Broth dilution	470	>=	mg/L
ciprofloxacin	4	Resistant	Laboratory Method	470.2243	Acinetobacter baumannii strain CCF4		470	>=	mg/L
trimethoprim/sulfamethoxazole	8/152	Resistant	Laboratory Method	470.4701	Acinetobacter baumannii strain AR_0056	Broth dilution	470	>	mg/L
imipenem	8	Resistant	Laboratory Method	470.7418	Acinetobacter baumannii strain MRSN11653	Broth dilution	470	>	mg/L
amikacin	32	Resistant	Laboratory Method	470.7670	Acinetobacter baumannii strain MRSN7209	Broth dilution	470	>	mg/L
meropenem		Resistant	Laboratory Method	470.751	Acinetobacter baumannii ABUH45562		470		
ampicillin	32	Resistant	Laboratory Method	470.8106	Acinetobacter baumannii strain MRSN946	Broth dilution	470	>=	mg/L
carbenicillin		Resistant	Laboratory Method	470.24299	Acinetobacter baumannii MGL_132	Disk diffusion	470		
tobramycin	8	Resistant	Laboratory Method	470.7484	Acinetobacter baumannii strain MRSN11772	Broth dilution	470	>	mg/L
tobramycin	8	Resistant	Laboratory Method	470.7645	Acinetobacter baumannii strain MRSN7162	Broth dilution	470	>	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7843	Acinetobacter baumannii strain MRSN7438	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	8/152	Resistant	Laboratory Method	470.7700	Acinetobacter baumannii strain MRSN7248	Broth dilution	470	=	mg/L
ertapenem	8	Resistant	Laboratory Method	470.2270	Acinetobacter baumannii strain CCF19		470	>=	mg/L
tobramycin		Resistant	Laboratory Method	470.768	Acinetobacter baumannii ABUH4556		470		
imipenem	16	Resistant	Laboratory Method	470.7563	Acinetobacter baumannii strain MRSN1967	Broth dilution	470	>=	mg/L
cefepime	32	Resistant	Laboratory Method	470.7403	Acinetobacter baumannii strain FDA-CDC-AR_0303	Broth dilution	470	=	mg/L
ceftriaxone	64	Resistant	Laboratory Method	470.7709	Acinetobacter baumannii strain MRSN7257	Broth dilution	470	>=	mg/L
nitrofurantoin	512	Resistant	Laboratory Method	470.7502	Acinetobacter baumannii strain MRSN11804	Broth dilution	470	>=	mg/L
ampicillin	32	Resistant	Laboratory Method	470.1550	Acinetobacter baumannii strain MRSN16901	Broth dilution	470	>=	mg/L
cefotaxime		Resistant	Laboratory Method	470.677	Acinetobacter baumannii ABUH129409		470		
ceftriaxone	32	Resistant	Laboratory Method	470.7475	Acinetobacter baumannii strain MRSN11762	Broth dilution	470	>	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7443	Acinetobacter baumannii strain MRSN11713	Broth dilution	470	>	mg/L
aztreonam	4	Resistant	Laboratory Method	470.7546	Acinetobacter baumannii strain MRSN15075	Broth dilution	470	=	mg/L
levofloxacin	4	Resistant	Laboratory Method	470.7886	Acinetobacter baumannii strain MRSN7500	Broth dilution	470	>	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7548	Acinetobacter baumannii strain MRSN15078	Broth dilution	470	>	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7449	Acinetobacter baumannii strain MRSN11723	Broth dilution	470	>	mg/L
ciprofloxacin	4	Resistant	Laboratory Method	470.7781	Acinetobacter baumannii strain MRSN7357	Broth dilution	470	>=	mg/L
tetracycline		Resistant	Laboratory Method	470.1749	Acinetobacter baumannii strain D81	Disk diffusion	470		
ertapenem	8	Resistant	Laboratory Method	470.2255	Acinetobacter baumannii strain CCF18		470	>=	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7839	Acinetobacter baumannii strain MRSN7434	Broth dilution	470	>	mg/L
tobramycin		Resistant	Laboratory Method	470.703	Acinetobacter baumannii ABUH71279		470		
gentamicin	8	Resistant	Laboratory Method	470.7667	Acinetobacter baumannii strain MRSN7206	Broth dilution	470	>	mg/L
amikacin	64	Resistant	Laboratory Method	470.4704	Acinetobacter baumannii strain AR_0078	Broth dilution	470	=	mg/L
ampicillin/sulbactam	32/16	Resistant	Laboratory Method	470.7808	Acinetobacter baumannii strain MRSN7389	Broth dilution	470	>=	mg/L
tobramycin	16	Resistant	Laboratory Method	470.1564	Acinetobacter baumannii strain MRSN6269	Broth dilution	470	>=	mg/L
ceftazidime	16	Resistant	Laboratory Method	470.8063	Acinetobacter baumannii strain MRSN7819	Broth dilution	470	>	mg/L
cefotaxime	32	Resistant	Laboratory Method	470.7674	Acinetobacter baumannii strain MRSN7216	Broth dilution	470	>	mg/L
aztreonam	16	Resistant	Laboratory Method	470.7970	Acinetobacter baumannii strain MRSN7647	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.7968	Acinetobacter baumannii strain MRSN7644	Broth dilution	470	>=	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7505	Acinetobacter baumannii strain MRSN11811	Broth dilution	470	>	mg/L
cefazolin	64	Resistant	Laboratory Method	470.8062	Acinetobacter baumannii strain MRSN7818	Broth dilution	470	>=	mg/L
amikacin	128	Resistant	Laboratory Method	470.7358	Acinetobacter baumannii strain BL09	Broth dilution	470	>	mg/L
amikacin		Resistant	Laboratory Method	470.16212	Acinetobacter baumannii BAL_188	Disk diffusion	470		
levofloxacin	8	Resistant	Laboratory Method	470.7617	Acinetobacter baumannii strain MRSN7128	Broth dilution	470	>=	mg/L
amikacin		Resistant	Laboratory Method	470.16326	Acinetobacter baumannii 233_an	Disk diffusion	470		
ciprofloxacin		Resistant	Laboratory Method	470.16238	Acinetobacter baumannii BAL_255	Disk diffusion	470		
gentamicin	8	Resistant	Laboratory Method	470.7750	Acinetobacter baumannii strain MRSN7313	Broth dilution	470	>	mg/L
nitrofurantoin	512	Resistant	Laboratory Method	470.7881	Acinetobacter baumannii strain MRSN7492	Broth dilution	470	>=	mg/L
imipenem		Resistant	Laboratory Method	470.24336	Acinetobacter baumannii MGL_77	Disk diffusion	470		
ciprofloxacin		Resistant	Laboratory Method	470.678	Acinetobacter baumannii ABUH129408		470		
meropenem	8	Resistant	Laboratory Method	470.7795	Acinetobacter baumannii strain MRSN7375	Broth dilution	470	>	mg/L
tobramycin		Resistant	Laboratory Method	470.718	Acinetobacter baumannii ABUH134192		470		
imipenem	8	Resistant	Laboratory Method	470.8077	Acinetobacter baumannii strain MRSN885	Broth dilution	470	>	mg/L
ceftazidime		Resistant	Laboratory Method	470.16227	Acinetobacter baumannii BAL_230	Disk diffusion	470		
neomycin		Resistant	Laboratory Method	470.24337	Acinetobacter baumannii MGL_Ab_12	Disk diffusion	470		
imipenem	32	Resistant	Laboratory Method	470.2160	Acinetobacter baumannii A092	Broth dilution	470		mg/L
tetracycline	16	Resistant	Laboratory Method	470.2246	Acinetobacter baumannii strain CCF5		470	>=	mg/L
cefepime	64	Resistant	Laboratory Method	470.2255	Acinetobacter baumannii strain CCF18		470	>=	mg/L
cefotaxime	32	Resistant	Laboratory Method	470.8005	Acinetobacter baumannii strain MRSN7701	Broth dilution	470	>	mg/L
ampicillin/sulbactam		Resistant	Laboratory Method	470.657	Acinetobacter baumannii ABUH81452		470		
cefoxitin	64	Resistant	Laboratory Method	470.7994	Acinetobacter baumannii strain MRSN7683	Broth dilution	470	>=	mg/L
ceftazidime	16	Resistant	Laboratory Method	470.7621	Acinetobacter baumannii strain MRSN7132	Broth dilution	470	>	mg/L
cefazolin	64	Resistant	Laboratory Method	470.7905	Acinetobacter baumannii strain MRSN7531	Broth dilution	470	>=	mg/L
cefepime	64	Resistant	Laboratory Method	470.7352	Acinetobacter baumannii strain BL03	Broth dilution	470	>	mg/L
ciprofloxacin	2	Resistant	Laboratory Method	470.7941	Acinetobacter baumannii strain MRSN7591	Broth dilution	470	>	mg/L
cefoxitin	64	Resistant	Laboratory Method	470.7661	Acinetobacter baumannii strain MRSN7185	Broth dilution	470	>=	mg/L
trimethoprim/sulfamethoxazole		Resistant	Laboratory Method	470.625	Acinetobacter baumannii ABUH175679		470		
nitrofurantoin	512	Resistant	Laboratory Method	470.7793	Acinetobacter baumannii strain MRSN7372	Broth dilution	470	>=	mg/L
ciprofloxacin	4	Resistant	Laboratory Method	470.7339	Acinetobacter baumannii strain 171	Broth dilution	470	>=	mg/L
ciprofloxacin		Resistant	Laboratory Method	470.1333	Acinetobacter baumannii UH66_271		470		
piperacillin/tazobactam		Resistant	Laboratory Method	470.767	Acinetobacter baumannii ABUH34813		470		
cefotaxime	32	Resistant	Laboratory Method	470.7807	Acinetobacter baumannii strain MRSN7388	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.8107	Acinetobacter baumannii strain MRSN953	Broth dilution	470	>=	mg/L
ceftriaxone		Resistant	Laboratory Method	470.16338	Acinetobacter baumannii 282_an	Disk diffusion	470		
amikacin	32	Resistant	Laboratory Method	470.7712	Acinetobacter baumannii strain MRSN7261	Broth dilution	470	>	mg/L
levofloxacin	4	Resistant	Laboratory Method	470.7974	Acinetobacter baumannii strain MRSN7654	Broth dilution	470	>	mg/L
ticarcillin/clavulanic acid		Resistant	Laboratory Method	470.1335	Acinetobacter baumannii UH66_253		470		
gentamicin	8	Resistant	Laboratory Method	470.1563	Acinetobacter baumannii strain MRSN5540	Broth dilution	470	>	mg/L
ciprofloxacin	4	Resistant	Laboratory Method	470.2274	Acinetobacter baumannii strain CCF29		470	>=	mg/L
tobramycin	8	Resistant	Laboratory Method	470.7588	Acinetobacter baumannii strain MRSN7070	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.8033	Acinetobacter baumannii strain MRSN7753	Broth dilution	470	>=	mg/L
ceftazidime		Resistant	Laboratory Method	470.696	Acinetobacter baumannii ABUH184309		470		
cefazolin	64	Resistant	Laboratory Method	470.7551	Acinetobacter baumannii strain MRSN15081	Broth dilution	470	>=	mg/L
ciprofloxacin	8	Resistant	Laboratory Method	470.7407	Acinetobacter baumannii strain FDA-CDC-AR_0307	Broth dilution	470	>	mg/L
cefoxitin	64	Resistant	Laboratory Method	470.7870	Acinetobacter baumannii strain MRSN7479	Broth dilution	470	>=	mg/L
nitrofurantoin	512	Resistant	Laboratory Method	470.8069	Acinetobacter baumannii strain MRSN7831	Broth dilution	470	>=	mg/L
gentamicin	8	Resistant	Laboratory Method	470.7439	Acinetobacter baumannii strain MRSN11708	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.7568	Acinetobacter baumannii strain MRSN1988	Broth dilution	470	>=	mg/L
carbenicillin		Resistant	Laboratory Method	470.24274	Acinetobacter baumannii MGL_175	Disk diffusion	470		
ceftriaxone	32	Resistant	Laboratory Method	470.7916	Acinetobacter baumannii strain MRSN7551	Broth dilution	470	>	mg/L
tetracycline	8	Resistant	Laboratory Method	470.7628	Acinetobacter baumannii strain MRSN7142	Broth dilution	470	>	mg/L
meropenem		Resistant	Laboratory Method	470.690	Acinetobacter baumannii ABUH189348		470		
levofloxacin	4	Resistant	Laboratory Method	470.7484	Acinetobacter baumannii strain MRSN11772	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.7920	Acinetobacter baumannii strain MRSN7560	Broth dilution	470	>=	mg/L
ciprofloxacin	64	Resistant	Laboratory Method	470.7357	Acinetobacter baumannii strain BL08	Broth dilution	470	=	mg/L
ampicillin/sulbactam		Resistant	Laboratory Method	470.673	Acinetobacter baumannii ABUH535419		470		
ceftriaxone	32	Resistant	Laboratory Method	470.7761	Acinetobacter baumannii strain MRSN7328	Broth dilution	470	>	mg/L
ampicillin		Resistant	Laboratory Method	470.22924	Acinetobacter baumannii MGL_168	Disk diffusion	470		
gentamicin		Resistant	Laboratory Method	470.754	Acinetobacter baumannii ABUH24357		470		
gentamicin	8	Resistant	Laboratory Method	470.7617	Acinetobacter baumannii strain MRSN7128	Broth dilution	470	>	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.8047	Acinetobacter baumannii strain MRSN7790	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	16/304	Resistant	Laboratory Method	470.8072	Acinetobacter baumannii strain MRSN83	Broth dilution	470	>=	mg/L
ceftriaxone	32	Resistant	Laboratory Method	470.7827	Acinetobacter baumannii strain MRSN7412	Broth dilution	470	>	mg/L
ciprofloxacin		Resistant	Laboratory Method	470.751	Acinetobacter baumannii ABUH45562		470		
imipenem		Resistant	Laboratory Method	470.16220	Acinetobacter baumannii BAL_205	Disk diffusion	470		
trimethoprim/sulfamethoxazole	2/38	Resistant	Laboratory Method	470.7466	Acinetobacter baumannii strain MRSN11749	Broth dilution	470	>	mg/L
gentamicin	16	Resistant	Laboratory Method	470.7644	Acinetobacter baumannii strain MRSN7161	Broth dilution	470	>=	mg/L
ceftazidime		Resistant	Laboratory Method	470.16297	Acinetobacter baumannii 18_n	Disk diffusion	470		
moxifloxacin	8	Resistant	Laboratory Method	470.7504	Acinetobacter baumannii strain MRSN11807	Broth dilution	470	>=	mg/L
cefotaxime	32	Resistant	Laboratory Method	470.8014	Acinetobacter baumannii strain MRSN7714	Broth dilution	470	>	mg/L
trimethoprim/sulfamethoxazole	2/38	Resistant	Laboratory Method	470.7443	Acinetobacter baumannii strain MRSN11713	Broth dilution	470	>	mg/L
ciprofloxacin		Resistant	Laboratory Method	470.6172	Acinetobacter baumannii strain AB_401	Disk diffusion	470		
piperacillin/tazobactam	256	Resistant	Laboratory Method	470.2280	Acinetobacter baumannii strain CCF48		470	>=	mg/L
ticarcillin/clavulanic acid		Resistant	Laboratory Method	470.636	Acinetobacter baumannii ABUH367548		470		
cefoxitin	64	Resistant	Laboratory Method	470.7997	Acinetobacter baumannii strain MRSN7689	Broth dilution	470	>=	mg/L
levofloxacin	4	Resistant	Laboratory Method	470.8107	Acinetobacter baumannii strain MRSN953	Broth dilution	470	>	mg/L
ciprofloxacin		Resistant	Laboratory Method	470.16275	Acinetobacter baumannii NCSR_106	Disk diffusion	470		
ciprofloxacin	8	Resistant	Laboratory Method	470.7390	Acinetobacter baumannii strain FDA-CDC-AR_0290	Broth dilution	470	>	mg/L
ampicillin/sulbactam		Resistant	Laboratory Method	470.8401	Acinetobacter baumannii strain Lah-04		470		
ampicillin		Resistant	Laboratory Method	470.1762	Acinetobacter baumannii strain D3208	Disk diffusion	470		
aztreonam	16	Resistant	Laboratory Method	470.7595	Acinetobacter baumannii strain MRSN7086	Broth dilution	470	>	mg/L
cefepime	64	Resistant	Laboratory Method	470.8114	Acinetobacter baumannii strain not applicable	Broth dilution	470	>=	mg/L
